iter	Passed	Remaining
0	128	128847
1	132	66216
2	136	45427
3	140	34925
4	143	28610
5	146	24260
6	149	21212
7	153	19054
8	156	17273
9	160	15880
10	163	14712
11	166	13748
12	170	12947
13	173	12211
14	176	11581
15	180	11072
16	183	10621
17	186	10188
18	189	9792
19	192	9442
20	195	9127
21	198	8840
22	201	8564
23	204	8320
24	207	8096
25	210	7892
26	213	7710
27	217	7554
28	220	7386
29	223	7235
30	226	7084
31	229	6957
32	233	6842
33	236	6723
34	239	6613
35	242	6503
36	245	6399
37	249	6309
38	252	6213
39	255	6126
40	258	6040
41	261	5963
42	265	5899
43	268	5831
44	271	5767
45	275	5705
46	278	5646
47	281	5587
48	284	5526
49	287	5469
50	290	5413
51	294	5364
52	297	5323
53	301	5276
54	304	5224
55	306	5174
56	309	5126
57	312	5081
58	316	5040
59	319	4999
60	321	4955
61	324	4914
62	328	4880
63	331	4844
64	334	4810
65	337	4774
66	340	4736
67	343	4702
68	346	4674
69	349	4637
70	351	4604
71	354	4568
72	357	4539
73	360	4509
74	363	4479
75	366	4451
76	368	4420
77	371	4392
78	374	4368
79	378	4348
80	380	4321
81	383	4294
82	386	4269
83	389	4243
84	392	4224
85	395	4202
86	398	4180
87	401	4158
88	404	4136
89	407	4118
90	410	4102
91	413	4084
92	416	4066
93	420	4052
94	423	4034
95	427	4022
96	430	4005
97	433	3988
98	436	3972
99	439	3955
100	442	3941
101	445	3922
102	448	3905
103	451	3889
104	454	3873
105	457	3861
106	460	3845
107	464	3833
108	467	3818
109	469	3802
110	472	3788
111	475	3773
112	478	3758
113	481	3744
114	484	3730
115	487	3715
116	490	3703
117	493	3690
118	496	3677
119	499	3663
120	502	3650
121	505	3636
122	508	3625
123	511	3612
124	514	3600
125	516	3585
126	520	3574
127	523	3566
128	526	3554
129	529	3543
130	532	3532
131	535	3520
132	538	3510
133	541	3501
134	544	3491
135	547	3480
136	550	3468
137	553	3458
138	556	3446
139	559	3434
140	562	3424
141	565	3414
142	567	3403
143	571	3394
144	573	3383
145	576	3373
146	579	3363
147	582	3355
148	585	3345
149	588	3336
150	592	3329
151	595	3319
152	597	3308
153	600	3299
154	603	3291
155	606	3281
156	609	3272
157	612	3263
158	615	3254
159	618	3246
160	621	3239
161	624	3231
162	627	3223
163	630	3214
164	633	3204
165	637	3203
166	640	3195
167	644	3189
168	647	3181
169	649	3173
170	653	3166
171	656	3158
172	659	3150
173	661	3141
174	664	3133
175	667	3125
176	670	3118
177	673	3109
178	676	3101
179	678	3092
180	681	3084
181	684	3077
182	687	3069
183	690	3061
184	693	3054
185	696	3047
186	698	3038
187	701	3030
188	704	3022
189	707	3015
190	710	3007
191	712	3000
192	716	2995
193	719	2988
194	722	2981
195	725	2974
196	728	2969
197	731	2964
198	734	2958
199	738	2952
200	741	2945
201	743	2939
202	746	2931
203	749	2925
204	752	2919
205	755	2913
206	758	2906
207	761	2900
208	765	2896
209	768	2889
210	771	2883
211	774	2878
212	777	2872
213	780	2866
214	783	2861
215	787	2857
216	790	2851
217	793	2846
218	796	2840
219	799	2835
220	802	2830
221	806	2825
222	809	2819
223	812	2814
224	816	2811
225	818	2804
226	822	2799
227	825	2793
228	827	2787
229	830	2781
230	833	2775
231	836	2769
232	839	2763
233	842	2757
234	845	2751
